age,Generation,Life Stage,Investment Horizon,Risk Tolerance,Investment Goal
30,30s,Mid-career,Mid to long term,Risk-averse,Safety-oriented
30,30s,Mid-career,Mid to long term,Risk-averse,Safety-oriented
39,30s,Mid-career,Mid to long term,Neutral,Balanced
47,40s,Mid-career,Mid to long term,Neutral,Balanced
39,30s,Mid-career,Mid to long term,Neutral,Balanced
32,30s,Mid-career,Mid to long term,Risk-seeking,Aggressive Growth
43,40s,Mid-career,Mid to long term,Neutral,Balanced
26,20s,Early-career,Short term,Risk-averse,Safety-oriented
26,20s,Early-career,Short term,Risk-averse,Safety-oriented
30,30s,Mid-career,Mid to long term,Risk-averse,Safety-oriented
